question,answer
What is your return policy?,We accept returns within 30 days of purchase with original receipt.
How long does shipping take?,Standard shipping takes 5-7 business days. Express shipping takes 1-2 days.
Do you ship internationally?,Yes we ship to over 50 countries. International shipping takes 7-14 business days.
How can I track my order?,You can track your order using the tracking link sent to your email after dispatch.
What payment methods do you accept?,We accept Visa Mastercard PayPal UPI and Net Banking.
Can I cancel my order?,Orders can be cancelled within 24 hours of placing them.
What if I receive a damaged product?,Please contact support within 48 hours with a photo and we will replace it for free.
How do I apply a coupon code?,Enter the coupon code at checkout in the promo code box before payment.
Is cash on delivery available?,Yes COD is available for orders under ₹5000 in selected cities.
How do I contact customer support?,You can reach us at support@shop.com or call 1800-123-456 between 9am-6pm Monday to Friday.
